WC ID;SKU WC;Nombre WC;Odoo ID;Referencia Odoo;Nombre Odoo;Variantes;Tipo Odoo
8206;P-70267;FISPOLY40, P-70267;652;P-70267;FISPOLY40, P-70267;1;product
8208;P-70113;FISPOLY40, P-70113;654;P-70113;FISPOLY40, P-70113;1;product
8210;P-70136;FISPOLY40, P-70136;657;P-70136;FISPOLY40, P-70136;1;product
8212;P-70160;FISPOLY40, P-70160;658;P-70160;FISPOLY40, P-70160;1;product
8217;P-70134;FISPOLY40, P-70134;663;P-70134;FISPOLY40, P-70134;1;product
8220;P-70142;FISPOLY40, P-70142;665;P-70142;FISPOLY40, P-70142;1;product
8224;P-70159;FISPOLY40, P-70159;668;P-70159;FISPOLY40, P-70159;1;product
8227;P-70104;FISPOLY40, P-70104;670;P-70104;FISPOLY40, P-70104;1;product
8230;P-36634;FISPOLY40, P-36634;672;P-36634;FISPOLY40, P-36634;1;product
8239;P-80118;FISPOLY40, P-80118;687;P-80118;FISPOLY40, P-80118;1;product
8241;P-70146;FISPOLY40, P-70146;688;P-70146;FISPOLY40, P-70146;1;product
8243;P-80132;FISPOLY40, P-80132;689;P-80132;FISPOLY40, P-80132;1;product
8245;P-80121;FISPOLY40, P-80121;691;P-80121;FISPOLY40, P-80121;1;product
8247;P-70120;FISPOLY40, P-70120;692;P-70120;FISPOLY40, P-70120;1;product
8249;P-70147;FISPOLY40, P-70147;694;P-70147;FISPOLY40, P-70147;1;product
8251;P-80116;FISPOLY40, P-80116;696;P-80116;FISPOLY40, P-80116;1;product
8253;P-80148;FISPOLY40, P-80148;697;P-80148;FISPOLY40, P-80148;1;product
8255;P-80108;FISPOLY40, P-80108;699;P-80108;FISPOLY40, P-80108;1;product
8257;P-80143;FISPOLY40, P-80143;703;P-80143;FISPOLY40, P-80143;1;product
8259;P-60101;FISPOLY40, P-60101;704;P-60101;FISPOLY40, P-60101;1;product
8261;P-46890;FISPOLY40, P-46890;705;P-46890;FISPOLY40, P-46890;1;product
8263;P-90102;FISPOLY40, P-90102;708;P-90102;FISPOLY40, P-90102;1;product
8265;P-70163;FISPOLY40, P-70163;712;P-70163;FISPOLY40, P-70163;1;product
8267;P-70162;FISPOLY40, P-70162;713;P-70162;FISPOLY40, P-70162;1;product
8269;P-20150;FISPOLY40, P-20150;715;P-20150;FISPOLY40, P-20150;1;product
8296;ST-M0505-H36;"MIGHTYHOOP 5,5"" ECO";3514;ST-M0505-H36;"MIGHTYHOOP 5,5"" ECO";1;product
8298;ST-M1010-H36;"MIGHTYHOOP 10 X 10&quot; ECO";3513;ST-M1010-H36;"MIGHTYHOOP 10 X 10&quot; ECO";1;product
8300;ST-M1113-H50;"MIGHTYHOOP 11 X 13&quot; ECO";3512;ST-M1113-H50;"MIGHTYHOOP 11 X 13&quot; ECO";1;product
