ID producto;Referencia interna;Nombre;Enlazado WC;Origen probable;Stock;Pedidos;Accion recomendada
3212;EPZ01490;"PANTALLA LCD HAPPY 7""";NO;import reciente;0.0;0;ARCHIVAR (copia import)
2225;FC345;"BASTIDOR FAST CLAMPING 3,5&quot;X4&quot;(89X101,5MM)";NO;medio;0.0;0;REVISAR
3207;FC345;"BASTIDOR FAST CLAMPING 3,5""X4""(89X101,5MM)";NO;import reciente;0.0;0;ARCHIVAR (copia import)
2224;FC45;"BASTIDOR FAST CLAMPING 4,5&quot;X4,5&quot; (114X114MM)";NO;medio;0.0;0;REVISAR
3206;FC45;"BASTIDOR FAST CLAMPING 4,5""X4,5"" (114X114MM)";NO;import reciente;0.0;0;ARCHIVAR (copia import)
2226;FC456;"BASTIDOR FAST CLAMPING 4,5&quot;X6&quot; (114,3X152,4MM)";NO;medio;0.0;0;REVISAR
3208;FC456;"BASTIDOR FAST CLAMPING 4,5""X6"" (114,3X152,4MM)";NO;import reciente;0.0;0;ARCHIVAR (copia import)
2223;FC65;"BASTIDOR FAST CLAMPING 6,5&quot;X6,5&quot; (165,1X165,1MM)";NO;medio;0.0;0;REVISAR
3205;FC65;"BASTIDOR FAST CLAMPING 6,5""X6,5"" (165,1X165,1MM)";NO;import reciente;0.0;0;ARCHIVAR (copia import)
3083;FRA44003;"Cap hold frame ass&apos;y (wide type) HAPPY";NO;medio;0.0;0;REVISAR
3234;FRA44003;Cap hold frame ass'y (wide type) HAPPY;NO;import reciente;0.0;0;ARCHIVAR (copia import)
3130;FW-711445;HILO DE LANA FISWOOLY 1000MT;NO;medio;0.0;0;REVISAR
3131;FW-711445;HILO DE LANA FISWOOLY 1000MT;NO;medio;0.0;0;REVISAR
2857;HCA04100;"CUCHILLA FIJA HAPPY &quot;B&quot; HCA/HCG/HCM";NO;medio;0.0;0;REVISAR
3222;HCA04100;"CUCHILLA FIJA HAPPY ""B"" HCA/HCG/HCM";NO;import reciente;0.0;0;ARCHIVAR (copia import)
1360;HCB79210;"MOTOR &quot;Y&quot; HAPPY HCS2";NO;legacy;0.0;0;REVISAR
3178;HCB79210;"MOTOR ""Y"" HAPPY HCS2";NO;medio;0.0;0;REVISAR
1088;HCB79600;"POTENCIOMETRO CAMBIO COLOR HCH-HCS2-HCU/HCU2 POTENTIOMETER ASS&apos;Y HAPPY";NO;legacy;0.0;0;REVISAR
3168;HCB79600;POTENCIOMETRO CAMBIO COLOR HCH-HCS2-HCU/HCU2 POTENTIOMETER ASS'Y HAPPY;NO;medio;0.0;0;REVISAR
1010;HCB914022;"THREAD HOLDER ASS&apos;Y HAPPY HCS/HCS2";NO;legacy;0.0;0;REVISAR
3163;HCB914022;THREAD HOLDER ASS'Y HAPPY HCS/HCS2;NO;medio;0.0;0;REVISAR
1021;HCBU08040;"POSITIONING PLATE ASS&apos;Y-HCS Upgrade Kit A HAPPY";NO;legacy;0.0;0;REVISAR
3165;HCBU08040;POSITIONING PLATE ASS'Y-HCS Upgrade Kit A HAPPY;NO;medio;0.0;0;REVISAR
1016;HCBU13020;"LEVER FOR PRESSURE FOOT ASS&apos;Y HAPPY HCH/HCS/HCS2";NO;legacy;0.0;0;REVISAR
3164;HCBU13020;LEVER FOR PRESSURE FOOT ASS'Y HAPPY HCH/HCS/HCS2;NO;medio;0.0;0;REVISAR
1009;HCBU14011;"THREAD CATCHER ASS&apos;Y-HCS Upgrade kit a HAPPY";NO;legacy;0.0;0;REVISAR
3162;HCBU14011;THREAD CATCHER ASS'Y-HCS Upgrade kit a HAPPY;NO;medio;0.0;0;REVISAR
