ID producto;Referencia interna;Nombre;Num pedidos;Stock;Nota
2190;KHS12-RY;GARFIO PEQUEÑO MB/TAJIMA/HAPPY SIN CORTAHILOS/BARUDAN;1;0.0;CONSERVAR - tiene historial ventas
1701;0888 220720;LAMINA SOPORTE TOPE DK;1;0.0;CONSERVAR - tiene historial ventas
1410;POLY1651;HILO MADEIRA POLYNEON 40 500M C:1651;1;0.0;CONSERVAR - tiene historial ventas
1623;0667 135124;LEVA ALZAPATAS DK888;1;0.0;CONSERVAR - tiene historial ventas
3143;EPZ01480;PANEL TACTIL 7'' HAPPY HCH/HCS/HCD2/HCR2/HCR3;1;0.0;CONSERVAR - tiene historial ventas
2472;HCU93704;KIT BASTIDOR GORRAS HAPPY HCU/HCU2;1;0.0;CONSERVAR - tiene historial ventas
2608;LUZ LED 15AG;LUZ LED HAPPY 15 AGUJAS;1;0.0;CONSERVAR - tiene historial ventas
2789;S080 115098;PASADOR BOLA BAQUELITA TOPE DK;1;0.0;CONSERVAR - tiene historial ventas
2943;HCT-1506;MAQUINA DE BORDAR MULTICABEZAL AVANZADA DE SEIS CABEZALES.;1;0.0;CONSERVAR - tiene historial ventas
1394;HOT MELT;HOT MELT 100CMx100M;1;0.0;CONSERVAR - tiene historial ventas
1621;0888 200280;PLACA AGUJA DK REFINADORA 1,8 C;1;0.0;CONSERVAR - tiene historial ventas
2032;HCU13A50;LASER HAPPY HCU;1;0.0;CONSERVAR - tiene historial ventas
400;HCD09361;PRESSURE FOOT ROLLER HAPPY HCD2/HCR2;1;0.0;CONSERVAR - tiene historial ventas
1060;HCBU01793;TAPA CUBRE GARFIO HAPPY HCS/HCS2/HCD2/HCR/HCH+;1;0.0;CONSERVAR - tiene historial ventas
1317;91-119283-01;TIJERA CORTAHILOS PF-491;1;0.0;CONSERVAR - tiene historial ventas
1329;TUBOAI;TUBO AIRE (Metro);1;0.0;CONSERVAR - tiene historial ventas
1307;0888 220760;RODETA DK 888  35mm;1;0.0;CONSERVAR - tiene historial ventas
1190;NYLONAMARINO;PRO-NYLON PARA EL BORDADO (1,6m) AZUL MARINO;1;0.0;CONSERVAR - tiene historial ventas
1581;GB134D-100;AGUJAS 134D-100;1;0.0;CONSERVAR - tiene historial ventas
1303;9205 101847;TORNILLO AGUJA DK 888/669/GB LP2971;1;0.0;CONSERVAR - tiene historial ventas
1514;HB230760;TIRAHILOS BARUDAN YS;1;0.0;CONSERVAR - tiene historial ventas
1570;SOLDARRIBET;SOLDAR/REPARAR CAPUCHA RIBETEADOR;1;0.0;CONSERVAR - tiene historial ventas
1601;0688 130110;SOPORTE ELECTROIMAN ALZAPATA DK;1;0.0;CONSERVAR - tiene historial ventas
1449;0688 320630;TORNILLO PLACA grande dk;1;0.0;CONSERVAR - tiene historial ventas
2028;3023;RESISTENCIA MARTILLO COLLI;1;0.0;CONSERVAR - tiene historial ventas
1457;SPDD03004;TORNILLO FLEJE BASTIDOR GORRAS HAPPY(M3X4);1;0.0;CONSERVAR - tiene historial ventas
2315;HCB12093;TIRAHILOS HAPPY HCH/HCS/HCS2/HCR2;1;0.0;CONSERVAR - tiene historial ventas
1878;STAK04006;TORNILLO TAPAS HAPPY;1;0.0;CONSERVAR - tiene historial ventas
2248;HR343050;TORNILLO CON RANURA PARA CLIP, SUJECIÓN BASTIDOR GORRAS HAPPY HCR3;1;0.0;CONSERVAR - tiene historial ventas
2415;0888 220090;tornillo sujección rODETA DK 888;1;0.0;CONSERVAR - tiene historial ventas
2792;91-056900-05;SOPORTE TOPE AEREO PF;1;0.0;CONSERVAR - tiene historial ventas
3050;HCR12330;TOPE BARRA AGUJA HAPPY HCR3;1;0.0;CONSERVAR - tiene historial ventas
1393;NYLONBEIG;PRO-NYLON PARA EL BORDADO (1,6m) BEIG;1;0.0;CONSERVAR - tiene historial ventas
1391;10422109;SILLA SA.TECNO GAS S-C NY-BAS 9;1;0.0;CONSERVAR - tiene historial ventas
1436;HCD04211;RETENEDOR ROTARY HOOK RETAINER HAPPY HCD2/HCD3/HCR3;1;0.0;CONSERVAR - tiene historial ventas
1647;S080 134028;TORNILLO TOPE DK;1;0.0;CONSERVAR - tiene historial ventas
1603;HCU08A32;TACO SALTO (RECIPROCADOR) HAPPY HCU;1;0.0;CONSERVAR - tiene historial ventas
1804;522080-120619;TORNILLO PLACA AGUJA GB LP971;1;0.0;CONSERVAR - tiene historial ventas
2422;S080 683104;TORNILLO FLEJE FRENO CANILLA DK 524i;1;0.0;CONSERVAR - tiene historial ventas
3147;HCR3-1506-45 S/G;"HAPPY HCR3-1506-45 S/G
- Máquina de bordar, de 6 cabezas y 15 agujas, con una distancia entre cabezales de 360mm, un campo de bordado de 450x360mm en plano y de 320x320mm con bastidor tubular a una velocidad de 1.100rpm.
- Nuevos motores servo, mayor calidad en el bordado (todos los motores de la máquina son servomotores, X, Y y Z).
- 999 memorias con 40.000.000 de puntadas libres.
- Dotada de sujetahilos tipo clip, puntero de posición en el primer cabezal, panel de control táctil de 10,4"" con conexión wifi incorporada para la tranferencia bidireccional entre ordenador y máquina de diseños, sin necesidad de acceso a internet.
- desde el panel tenemos la posibilidad desde crear alfabetos como combinar 2 diseños en 1, así como una gran cantidad de funciones para la edición y el posicionamiento de los bordados.
- Bobinador de hilo de canilla con motor independiente.
- puertos usb/lan.
- 1000 memorias.
- Iluminación led sobre el área de bordado.
- Opcionalmente dispone de dispositivos de lentejuela, cordón y punzón, así como una gran variedad de bastidores para trabajos específicos.

- Equipamiento suministrado con la máquina:
- Bastidor portal
 - 3 juegos de bastidores tubulares a elegir entre varias medidas.u";1;0.0;CONSERVAR - tiene historial ventas
3155;HFR-W1502A-120;"HAPPY HFR-W1502A-120
- Campo de trabajo: 2 cabezales Y1200xX600 mm.; 1 cabezal Y1200xX1200 mm.
- Máquina de 15 Agujas; velocidad máxima 1000rpm.
- Panel de control 10,4"" LCD color táctil.
- HAPPY LAN software.
- Cambio de color automático.
- Detección rotura de hilo automática.
- Ranura para memoria USB.
-""Offset"" automático/bastidor fuera.
- Retorno al origen.
- Función trazado, edición de diseños, rotación y repetición de diseños
- Posibilidad de colocación de dispositivos para la aplicación de lentejuelas, cordones y cintas.";1;0.0;CONSERVAR - tiene historial ventas
1187;N800 688014;TOPE AEREO DK 888;1;0.0;CONSERVAR - tiene historial ventas
1502;HT230480;BIELA BARUDAN YN/ZN;1;0.0;CONSERVAR - tiene historial ventas
2041;HCR908370;CONJUNTO BIELA MOVIMIENTO RECIPROCADOR/BARRA AGUJA HAPPY HCR3;1;0.0;CONSERVAR - tiene historial ventas
2201;HCB902064;CONJUNTO RODAMIENTO CASQUILLO EJE PRINCIPAL INFERIOR HAPPY HCR2/HCR3.;1;0.0;CONSERVAR - tiene historial ventas
401;HCB05062;CUCHILLA FIJA HAPPY HCS/HCS2/HCD2/HCR2/HCH+;1;0.0;CONSERVAR - tiene historial ventas
1794;9401 000204;ACCIONADOR PEDAL DK;1;0.0;CONSERVAR - tiene historial ventas
1334;12436;DIENTE MB PLANA Y OTRAS;1;0.0;CONSERVAR - tiene historial ventas
2773;C12248A;FLEXO IMAN  JACK 3W;1;0.0;CONSERVAR - tiene historial ventas
1471;ZP41C;FUELLE SEIKAN FRZ-100;1;0.0;CONSERVAR - tiene historial ventas
2465;EPK01120;FUENTE ALIMENTACION HAPPY HCS2;1;0.0;CONSERVAR - tiene historial ventas
1407;0888 330130;FLEJE DK/ SPRING;1;0.0;CONSERVAR - tiene historial ventas
1309;99-137151-45;GOMA CANILLERO PF-491/591;1;0.0;CONSERVAR - tiene historial ventas
3071;HCB16404;LOWER RECTIFIER HAPPY HCU;1;0.0;CONSERVAR - tiene historial ventas
3305;LTB1657;COLOR 1657;1;0.0;CONSERVAR - tiene historial ventas
3157;ST-M0505-HA360;"MIGHTYHOOP 5,5"" ECO";1;0.0;CONSERVAR - tiene historial ventas
