odoo_id;sku;nombre;odoo_list_price;wc_regular_price;neto_esperado;status;delta_actual_vs_esperado;wc_id
512;P-30176;FISPOLY40, P-30176;4.5;5.45;4.5;OK_NETO;0.0;8033
511;P-30112;FISPOLY40, P-30112;4.5;5.45;4.5;OK_NETO;0.0;8031
3498;SPRAY LIMPIADOR GRANDE;DK5 SPRAY LIMPIADOR 500ML;6.66;6.66;5.5;MAL_COPIADO_BRUTO;1.16;8371
510;P-30111;FISPOLY40, P-30111;4.5;5.45;4.5;OK_NETO;0.0;8029
3501;ISAMET 2943-0490;HILO METÁLICO ISAMET ORO 0490;23.51;28.447;23.51;OK_NETO;0.0;1189926
509;P-30100;FISPOLY40, P-30100;4.5;5.45;4.5;OK_NETO;0.0;8027
508;P-26788;FISPOLY40, P-26788;4.5;5.45;4.5;OK_NETO;0.0;8025
2369;HILOCANILLA;HILO CANILLA 125000M;65.0;78.65;65.0;OK_NETO;0.0;1189889
507;P-10102;FISPOLY40, P-10102;4.5;5.45;4.5;OK_NETO;0.0;8023
3506;P-BEYAZ (BLANCO);FISPOLY40, BEYAZ (BLANCO);5.45;5.45;4.5;MAL_COPIADO_BRUTO;0.95;8021
504;P-80103;FISPOLY40, P-80103;4.5;5.45;4.5;OK_NETO;0.0;8018
503;P-70164;FISPOLY40, P-70164;4.5;5.45;4.5;OK_NETO;0.0;8016
3507;70WL;ENTRETELA BASE DE ARRANCAR, 70 GRAMOS;77.0;93.17;77.0;OK_NETO;0.0;1189786
3508;105WL;ENTRETELA BASE DE ARRANCAR, 105 GRAMOS;168.8;168.795;139.5;MAL_COPIADO_BRUTO;29.3;1189784
502;P-70154;FISPOLY40, P-70154;4.5;5.45;4.5;OK_NETO;0.0;8014
501;P-70153;FISPOLY40, P-70153;4.5;5.45;4.5;OK_NETO;0.0;8012
2221;GS3V;LECTOR USB PARA TODAS LAS MARCAS DE MAQUINAS DE BORDAR;900.0;0.0;;WC_PRECIO_CERO;;1169299
500;P-70107;FISPOLY40, P-70107;4.5;5.45;4.5;OK_NETO;0.0;8010
2064;TS2055NEGRA;ENTRETELA NEGRA DE VISCOSA SUAVE, 55 GRAMOS;140.0;169.4;140.0;OK_NETO;0.0;1144927
499;P-56404;FISPOLY40, P-56404;4.5;5.45;4.5;OK_NETO;0.0;8008
605;P-56053;FISPOLY40, P-56053;4.5;5.45;4.5;OK_NETO;0.0;8172
1923;FRA40013;SET TORNILLO AJUSTE PARA BASTIDOR CUADRADO HAPPY;4.25;5.14;4.25;OK_NETO;0.0;1124957
603;P-56046;FISPOLY40, P-56046;4.5;5.45;4.5;OK_NETO;0.0;8169
1912;FRA40542;BASTIDOR HAPPYJAPAN DE MADERA 42x44 CM.;170.0;205.7;170.0;OK_NETO;0.0;1124954
599;P-80134;FISPOLY40, P-80134;4.5;5.45;4.5;OK_NETO;0.0;8164
1422;TECH 12;BASTIDOR TUBULAR TECH 12CM TIPO HAPPY;27.0;32.67;27.0;OK_NETO;0.0;1104075
597;P-80120;FISPOLY40, P-80120;4.5;5.45;4.5;OK_NETO;0.0;8161
1884;FRA48020;ONE-POINT FRAME (LARGE);295.0;356.95;295.0;OK_NETO;0.0;1101581
595;P-80133;FISPOLY40, P-80133;4.5;5.45;4.5;OK_NETO;0.0;8158
2038;HCD79161;VENTILADOR HAPPY HCD2;33.0;39.93;33.0;OK_NETO;0.0;974879
584;P-80147;FISPOLY40, P-80147;4.5;5.45;4.5;OK_NETO;0.0;8146
1955;HCS3-1201-40;HAPPY HCS3-1201-40;9500.0;0.0;;WC_PRECIO_CERO;;916176
578;P-40136;FISPOLY40, P-40136;4.5;5.45;4.5;OK_NETO;0.0;8139
571;P-56402;FISPOLY40, P-56402;4.5;5.45;4.5;OK_NETO;0.0;8129
1374;HSA04031;CAJA BOBINA ORIGINAL HAPPY PARA CANILLA PREBOBINADA;12.0;14.52;12.0;OK_NETO;0.0;887211
1295;HSA04021;CAJA BOBINA ORIGINAL HAPPY;12.0;14.52;12.0;OK_NETO;0.0;887206
569;P-46499;FISPOLY40, P-46499;4.5;5.45;4.5;OK_NETO;0.0;8126
1949;FRA21D00;BASTIDOR PINZAS HAPPY HCH+, HCS2. PARA CALZADO, BOTAS, ETC.;495.0;598.95;495.0;OK_NETO;0.0;671502
567;P-56413;FISPOLY40, P-56413;4.5;5.45;4.5;OK_NETO;0.0;8123
1614;FRA21D10;BASTIDOR PINZAS HAPPY HCD2, HCD3. PARA CALZADO, BOTAS, ETC.;495.0;598.95;495.0;OK_NETO;0.0;622618
566;P-56405;FISPOLY40, P-56405;4.5;5.45;4.5;OK_NETO;0.0;8121
1921;EMBROIDERYERASER;BORRADOR DE BORDADOS;95.0;114.95;95.0;OK_NETO;0.0;621844
565;P-5644;FISPOLY40, P-5644;4.5;5.45;4.5;OK_NETO;0.0;8119
564;P-20130;FISPOLY40, P-20130;4.57;5.53;4.57;OK_NETO;0.0;8117
1332;CAUT13102;MÁQUINA BOBINADORA DE CANILLAS AUTOMÁTICA. (CANILLERO);110.0;0.0;;WC_PRECIO_CERO;;465289
1875;FRA48160;BASTIDOR-ONE POINT (EXTRA LARGE) MANGAS Y PERNERAS ORIGINAL HAPPY;264.2;319.68;264.2;OK_NETO;0.0;420503
555;P-26797;FISPOLY40, P-26797;4.5;5.45;4.5;OK_NETO;0.0;8107
1874;FRA48010;ONE-POINT FRAME (SMALL);249.0;301.29;249.0;OK_NETO;0.0;420502
554;P-20120;FISPOLY40, P-20120;4.5;5.45;4.5;OK_NETO;0.0;8105
553;P-10153;FISPOLY40, P-10153;4.5;5.45;4.5;OK_NETO;0.0;8103
1729;HMK-001;KIT FIJACIÓN ECO BASTIDORES MAGNÉTICOS.;716.84;867.38;716.84;OK_NETO;0.0;394729
549;P-20126;FISPOLY40, P-20126;4.5;5.45;4.5;OK_NETO;0.0;8098
548;P-10157;FISPOLY40, P-10157;4.5;5.45;4.5;OK_NETO;0.0;8097
547;P-50134;FISPOLY40, P-50134;4.5;5.45;4.5;OK_NETO;0.0;8095
546;P-10116;FISPOLY40, P-10116;4.5;5.45;4.5;OK_NETO;0.0;8093
718;P-10135;FISPOLY40, P-10135;4.5;5.45;4.5;OK_NETO;0.0;1191159
544;P-10103;FISPOLY40, P-10103;4.5;5.45;4.5;OK_NETO;0.0;8091
717;P-10300;FISPOLY40, P-10300;4.5;5.45;4.5;OK_NETO;0.0;1191157
538;P-10105;FISPOLY40, P-10105;4.5;5.45;4.5;OK_NETO;0.0;8085
537;P-40112;FISPOLY40, P-40112;4.5;5.45;4.5;OK_NETO;0.0;8083
1595;ENTRETELASOLUBLE;ENTRETETELA HIDROSOLUBLE  40g (1m x 100m) ROLLO;139.0;164.56;136.0;OTRO;3.0;1191118
536;P-30147;FISPOLY40, P-30147;4.5;5.45;4.5;OK_NETO;0.0;8081
3515;;MÁQUINA DE BORDAR ZSK SPRINT 7;0.0;;;SIN_SKU;;
535;P-70100;FISPOLY40, P-70100;4.5;5.45;4.5;OK_NETO;0.0;8079
534;P-70140;FISPOLY40, P-70140;4.5;5.45;4.5;OK_NETO;0.0;8077
533;P-66409;FISPOLY40, P-66409;4.5;5.45;4.5;OK_NETO;0.0;8075
532;P-40109;FISPOLY40, P-40109;4.5;5.45;4.5;OK_NETO;0.0;8073
531;P-30183;FISPOLY40, P-30183;4.5;5.45;4.5;OK_NETO;0.0;8071
2969;HYGAPE100;HILO DE CANILLA (GRUESO)10.000MTS Nº100;11.0;13.31;11.0;OK_NETO;0.0;1191053
530;P-30116;FISPOLY40, P-30116;4.5;5.45;4.5;OK_NETO;0.0;8069
3479;;CANILLA METALICA BORDADO HAPPY;3.27;;;SIN_SKU;;
696;P-80116;FISPOLY40, P-80116;4.5;5.45;4.5;OK_NETO;0.0;8251
694;P-70147;FISPOLY40, P-70147;4.5;5.45;4.5;OK_NETO;0.0;8249
692;P-70120;FISPOLY40, P-70120;4.5;5.45;4.5;OK_NETO;0.0;8247
691;P-80121;FISPOLY40, P-80121;4.5;5.45;4.5;OK_NETO;0.0;8245
3480;;BASTIDOR POINT (EXTRA LARGE) MANGAS Y PERNERAS ORIGINAL HAPPY;319.68;;;SIN_SKU;;
689;P-80132;FISPOLY40, P-80132;4.5;5.45;4.5;OK_NETO;0.0;8243
3481;;BASTIDOR DE PINZAS LARGAS BOLSOS/SIDE PARA HCH/HCS3;598.95;;;SIN_SKU;;
688;P-70146;FISPOLY40, P-70146;4.5;5.45;4.5;OK_NETO;0.0;8241
3483;;BASTIDOR DE PINZAS LARGAS BOLSOS/SIDE PARA HCD2/D3/D3e;598.95;;;SIN_SKU;;
3011;MM228;TIJERAS MM 21,5 MM;21.71;26.27;21.71;OK_NETO;0.0;1190319
687;P-80118;FISPOLY40, P-80118;4.5;5.45;4.5;OK_NETO;0.0;8239
3010;MM245;TIJERAS MM 13,5 CM;17.72;21.44;17.72;OK_NETO;0.0;1190315
672;P-36634;FISPOLY40, P-36634;4.5;5.45;4.5;OK_NETO;0.0;8230
2877;MM227;TIJERAS MM 19CM;21.71;26.269;21.71;OK_NETO;0.0;1190142
