ID producto;Referencia interna;Nombre;Origen;Stock;Pedidos;Accion recomendada
3237;HCD81022;"LCD ATA CIRCUIT BOARD (Pb FREE) ASSY HAPPY ""HCS LCD COLOR""";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3211;HCDU37A41;"BASTIDOR PORTAL ""X"" HAPPY HCD2-X (400X1200).";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3210;HCR16A46;"CONJUNTO TENSOR DETECCIÓN DE HILO HAPPY HCR2.
(TENSOR NEGRO COMPLETO)";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3329;HCR79690;DRIVER SERVOMOTOR Y, PARA HAPPY HCR3-1504;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3589;HCR81080;PLACA ELECTRONICA ON/OFF CABEZAL HCR2;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3590;HCR81090;PLACA INTERRUPTOR HAPPY HCR2;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3587;HCR81262/HCR81261;JUMP-SW2 BOARD ASS´Y HCR3 HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3412;HCR908022;CONJUNTO BIELA MOVIMIENTO RECIPROCADOR/BARRA AGUJA;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3245;HCS08010;TAKE-UP LEVER GUIDE BAR HCS3 HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3257;HCS13A11/HCS13A20/HCS13A13;PUNTERO LASER HCS3;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3229;HCSU29010;"DISPLAY MODULE 7"" HCD3E/HCD2 HAPPY";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3455;HCT04040;TAPA CUBRESPIRAL/GARFIO HCT;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3458;HCT04060;ROTARY HOOK COVER RETAINING SPRING;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3459;HCT04070;ROTARY HOOK COVER TENSION SPRING HCT HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3456;HCT05080;BOBBIN THREAD HOLDER;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3261;HCU12043;SOPORTE BARRA TIRAHILOS HCU HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3262;HCU12194;MUELLE SOPORTE BARRA TIRAHILOS HCU HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3263;HCU12A11;TIRAHILOS HCU HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3200;HCU25100;"PLETINA SUJECIÓN CORREA EJE ""Y"" HAPPY HCU";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3199;HCU25110;"PLETINA CONEXIÓN CORREA EJE ""Y"" HAPPY HCU";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3334;HIL40N;HILO Nº40 NEGRO 1200MTS;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3255;HILO TORZAL;HILO TORZAL 30;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3476;HILREFRECTANTE;HILO REFLECTANTE 500M;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3201;HMG08130;"CUSHION ""B"" HAPPY BLANCO HCGB/HMF";import reciente;0.0;0;ARCHIVAR o unificar (duplicado)
3260;HR334010;PLETINA SOPORTE TABLERO HCR3 HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3248;HSA90220;PASADOR DE POSICIONAMIENTO 6 HAPPY;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
