Categoria;Accion recomendada;Prioridad;ID Odoo;ID WooCommerce;Referencia interna;SKU WC;Nombre;Enlazado WC;Origen;Stock;Pedidos;Variantes;Tipo producto Odoo;Producto relacionado ID;Producto relacionado nombre;Causa / motivo;Notas
DUPLICADO IMPORT;ARCHIVAR;ALTA;3189;;HCD72800;;"CABLE CONEXIÓN LCD 10"" HAPPY";NO;import reciente (copia);0;0;;;1665;"CABLE CONEXIÓN LCD 10&quot; HAPPY";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1665
DUPLICADO IMPORT;ARCHIVAR;ALTA;3197;;HCD79621;;"MODULO CORE 7"" PANEL LCD HAPPY";NO;import reciente (copia);0;0;;;1926;"MODULO CORE 7&quot; PANEL LCD HAPPY";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1926
DUPLICADO IMPORT;ARCHIVAR;ALTA;3211;;HCDU37A41;;"BASTIDOR PORTAL ""X"" HAPPY HCD2-X (400X1200).";NO;import reciente (copia);0;0;;;2428;"BASTIDOR PORTAL &quot;X&quot; HAPPY HCD2-X (400X1200).";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2428
DUPLICADO IMPORT;ARCHIVAR;ALTA;3210;;HCR16A46;;"CONJUNTO TENSOR DETECCIÓN DE HILO HAPPY HCR2.
(TENSOR NEGRO COMPLETO)";NO;import reciente (copia);0;0;;;2322;CONJUNTO TENSOR DETECCIÓN DE HILO HAPPY HCR2. (TENSOR NEGRO COMPLETO);"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2322
DUPLICADO IMPORT;ARCHIVAR;ALTA;3229;;HCSU29010;;"DISPLAY MODULE 7"" HCD3E/HCD2 HAPPY";NO;import reciente (copia);0;0;;;2977;"DISPLAY MODULE 7&quot; HCD3E/HCD2 HAPPY";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2977
DUPLICADO IMPORT;ARCHIVAR;ALTA;3200;;HCU25100;;"PLETINA SUJECIÓN CORREA EJE ""Y"" HAPPY HCU";NO;import reciente (copia);0;0;;;1948;"PLETINA SUJECIÓN CORREA EJE &quot;Y&quot; HAPPY HCU";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1948
DUPLICADO IMPORT;ARCHIVAR;ALTA;3199;;HCU25110;;"PLETINA CONEXIÓN CORREA EJE ""Y"" HAPPY HCU";NO;import reciente (copia);0;0;;;1947;"PLETINA CONEXIÓN CORREA EJE &quot;Y&quot; HAPPY HCU";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1947
DUPLICADO IMPORT;ARCHIVAR;ALTA;3201;;HMG08130;;"CUSHION ""B"" HAPPY BLANCO HCGB/HMF";NO;import reciente (copia);0;0;;;2015;"CUSHION &quot;B&quot; HAPPY BLANCO HCGB/HMF";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2015
DUPLICADO IMPORT;ARCHIVAR;ALTA;3196;;ST-M0404-HA360;;"MIGHTYHOOP 4"" X 4"" ECO";NO;import reciente (copia);0;0;;;1725;"MIGHTYHOOP 4&quot; X 4&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1725
DUPLICADO IMPORT;ARCHIVAR;ALTA;3193;;ST-M0413-HA500;;"MIGHTYHOOP 4"" X 12,75"" ECO";NO;import reciente (copia);0;0;;;1722;"MIGHTYHOOP 4&quot; X 12,75&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1722
